x;SNO_AS
47.8291125;21.782
47.91186667;24.0165
47.99497083;23.9072
48;24.1876
48.08106667;23.6098
48.1651;17.219
48.24709583;14.5787
48.33053333;12.2193
48.41525833;11.1721
48.49690417;10.8756
48.58304167;10.2969
48.66245417;15.0633
48.74789583;19.1723
48.8291125;21.782
48.91186667;24.0165
48.99497083;23.9072
49;24.1876
49.08106667;23.6098
49.1651;17.219
49.24709583;14.5787
49.33053333;12.2193
49.41525833;11.1721
49.49690417;10.8756
49.58304167;10.2969
49.66245417;15.0633
49.74789583;19.1723
49.8291125;21.782
49.91186667;24.0165
49.99497083;23.9072
50;24.1876
50.08106667;23.6098
50.1651;17.219
50.24709583;14.5787
50.33053333;12.2193
50.41525833;11.1721
50.49690417;10.8756
50.58304167;10.2969
50.66245417;15.0633
50.74789583;19.1723
50.8291125;21.782
50.91186667;24.0165
50.99497083;23.9072
51;24.1876
51.08106667;23.6098
51.1651;17.219
51.24709583;14.5787
51.33053333;12.2193
51.41525833;11.1721
51.49690417;10.8756
51.58304167;10.2969
51.66245417;15.0633
51.74789583;19.1723
51.8291125;21.782
51.91186667;24.0165
51.99497083;23.9072
52;24.1876
52.08106667;23.6098
52.1651;17.219
52.24709583;14.5787
52.33053333;12.2193
52.41525833;11.1721
52.49690417;10.8756
52.58304167;10.2969
52.66245417;15.0633
52.74789583;19.1723
52.8291125;21.782
52.91186667;24.0165
52.99497083;23.9072
53;24.1876
53.08106667;23.6098
53.1651;17.219
53.24709583;14.5787
53.33053333;12.2193
53.41525833;11.1721
53.49690417;10.8756
53.58304167;10.2969
53.66245417;15.0633
53.74789583;19.1723
53.8291125;21.782
53.91186667;24.0165
53.99497083;23.9072
54;24.1876
54.08106667;23.6098
54.1651;17.219
54.24709583;14.5787
54.33053333;12.2193
54.41525833;11.1721
54.49690417;10.8756
54.58304167;10.2969
54.66245417;15.0633
54.74789583;19.1723
54.8291125;21.782
54.91186667;24.0165
54.99497083;23.9072
55;24.1876
55.08106667;23.6098
55.1651;17.219
55.24709583;14.5787
55.33053333;12.2193
55.41525833;11.1721
55.49690417;10.8756
55.58304167;10.2969
55.66245417;15.0633
55.74789583;19.1723
55.8291125;21.782
55.91186667;24.0165
55.99497083;23.9072
56;24.1876
